@timestamp,@message
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.949696+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXIPO-26-RIPPLE"", ""order_id"": ""a91e688e-9216-4e61-82cb-ca8391f9efa1"", ""side"": ""no"", ""price"": 0.39, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.949733+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXWCCREG-26-GONZ"", ""order_id"": ""058f66bc-53f8-40d9-b3e4-7fdc5a3161ff"", ""side"": ""yes"", ""price"": 0.56, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.949850+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXWCCREG-26-GONZ"", ""order_id"": ""c4cd0302-2060-4393-9e62-6726e3fc327a"", ""side"": ""yes"", ""price"": 0.57, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.949879+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXIPO-26-RIPPLE"", ""order_id"": ""f794d5ad-4aec-4add-83d0-2b55a00b4226"", ""side"": ""no"", ""price"": 0.38, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.949928+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXIPO-26-DATABRICKS"", ""order_id"": ""4973437a-bf40-4251-bc1d-a90fa46e8105"", ""side"": ""no"", ""price"": 0.57, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.949979+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXIPO-26-RIPPLE"", ""order_id"": ""fa56094a-9d5e-4542-8e96-8c5f972ff636"", ""side"": ""yes"", ""price"": 0.34, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.950007+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXNEXTCOACHOUTNFL-26-2-LV"", ""order_id"": ""0b8fb14f-7a57-4268-a132-5c4954341d1e"", ""side"": ""yes"", ""price"": 0.27, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
2025-12-26 08:45:53.810,"{""ts"": ""2025-12-26T08:45:49.001386+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Loop exceeded target duration"", ""event_type"": ""LOG"", ""loop_duration_ms"": 37369.160652160645, ""target_ms"": 10000.0, ""logger"": ""__main__""}"
2025-12-26 08:45:49.091,"{""ts"": ""2025-12-26T08:45:47.932188+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Some cancellations failed"", ""event_type"": ""LOG"", ""succeeded"": 5, ""failed"": 2, ""logger"": ""__main__""}"
2025-12-26 08:45:48.089,"{""ts"": ""2025-12-26T08:45:47.931891+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Batch cancel - order failed"", ""event_type"": ""BATCH_CANCEL_FAILED"", ""decision_id"": ""20251226-010945-5de626:BATCH_CANCEL:740"", ""order_id"": ""058f66bc-53f8-40d9-b3e4-7fdc5a3161ff"", ""error_msg"": ""not found"", ""error_code"": ""not_found"", ""logger"": ""dora_bot.exchange_client""}"
