Event Time,Message,Log group,Log stream
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234518+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXPGAMAJORWIN-26-SSCH"", ""order_id"": ""042a44ca-ff1e-4c34-997a-4d4774b17d8c"", ""side"": ""no"", ""price"": 0.57, ""size"": 0, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234567+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXSBGUESTS-26-TS"", ""order_id"": ""e23594a6-1d2e-4989-aee2-7f982c9af5bd"", ""side"": ""no"", ""price"": 0.42, ""size"": 0, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234603+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXSBGUESTS-26-TS"", ""order_id"": ""f23067ab-f31a-4847-95a2-f0cc87733d71"", ""side"": ""yes"", ""price"": 0.16, ""size"": 0, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234635+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXIPO-26-DATABRICKS"", ""order_id"": ""ee6919a2-8920-4280-99ec-ccf0a38f5e84"", ""side"": ""yes"", ""price"": 0.53, ""size"": 0, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234665+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXIPO-26-DATABRICKS"", ""order_id"": ""99d5bf3c-ef72-450e-b8db-9cf27b86272e"", ""side"": ""no"", ""price"": 0.57, ""size"": 0, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234701+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXPGAMAJORWIN-26-SSCH"", ""order_id"": ""c7b6580c-6c80-43ce-838b-dd19dae65179"", ""side"": ""yes"", ""price"": 0.53, ""size"": 0, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234731+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXWCCREG-26-GONZ"", ""order_id"": ""7d7989dc-8b55-40e3-9b97-ca2a4cdf02f7"", ""side"": ""yes"", ""price"": 0.5, ""size"": 0, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234772+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXSBGUESTS-26-TS"", ""order_id"": ""5957276e-7e65-486f-811d-655a99fb7be9"", ""side"": ""no"", ""price"": 0.44, ""size"": 10, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234841+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXWCCREG-26-GONZ"", ""order_id"": ""9dd84224-81bd-43a4-b13c-6b08cdd23535"", ""side"": ""yes"", ""price"": 0.28, ""size"": 10, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234881+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXLEADERSOUT-27JAN01-AALSSYR"", ""order_id"": ""17448822-65ff-44e5-bdb5-d82e22b18b5d"", ""side"": ""no"", ""price"": 0.27, ""size"": 10, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.235005+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXGTAPRICE-90"", ""order_id"": ""644207d2-6dee-46ca-af16-75d098ac5d66"", ""side"": ""yes"", ""price"": 0.31, ""size"": 10, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.235038+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXSBGUESTS-26-TS"", ""order_id"": ""b4eebf6c-5d99-4cd1-a52a-56771e83154e"", ""side"": ""yes"", ""price"": 0.14, ""size"": 10, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.235391+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXNEXTCOACHOUTNFL-26-2-LV"", ""order_id"": ""7478a3c7-8b15-450d-8d45-f43c5510a1eb"", ""side"": ""no"", ""price"": 0.33, ""size"": 10, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.235424+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXNEXTCOACHOUTNFL-26-2-LV"", ""order_id"": ""41bc5641-a668-44d5-8373-f03edc2e3034"", ""side"": ""yes"", ""price"": 0.2, ""size"": 10, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.235452+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order on exchange but not in local state (untracked)"", ""event_type"": ""LOG"", ""market"": ""KXLEADERSOUT-27JAN01-AALSSYR"", ""order_id"": ""85af00f2-f404-430b-89bf-6ce22b70afc8"", ""side"": ""yes"", ""price"": 0.23, ""size"": 10, ""logger"": ""dora_bot.state_manager""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
